id,source,split,label,label_idx,group,path,cache,seg_cache
0,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::25.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/a37f34f7-022d-461a-8a3d-95f5cd774e35___Mary_HL 9155.JPG,/workspace/plant-disease/data/cache/plantvillage/0.jpg,/workspace/plant-disease/data/cache/plantvillage/0_seg.jpg
1,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::25.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/368f3c83-5bd2-4906-b418-57b6ceff9bfe___Mary_HL 9160.JPG,/workspace/plant-disease/data/cache/plantvillage/1.jpg,/workspace/plant-disease/data/cache/plantvillage/1_seg.jpg
2,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::25.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/98226f66-15a1-40d5-9b62-04ae5b4fd8d5___Mary_HL 9159.JPG,/workspace/plant-disease/data/cache/plantvillage/2.jpg,/workspace/plant-disease/data/cache/plantvillage/2_seg.jpg
3,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::25.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/e2bc5cd9-a590-4b06-a610-dec52f74ae1e___Mary_HL 9163.JPG,/workspace/plant-disease/data/cache/plantvillage/3.jpg,/workspace/plant-disease/data/cache/plantvillage/3_seg.jpg
4,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::25.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/de3b86c7-8f0b-4cd8-ab11-2450fff0ec52___Mary_HL 9154.JPG,/workspace/plant-disease/data/cache/plantvillage/4.jpg,/workspace/plant-disease/data/cache/plantvillage/4_seg.jpg
5,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::25.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/dbaa5f62-187f-422b-ac84-12c6e7b12025___Mary_HL 9164.JPG,/workspace/plant-disease/data/cache/plantvillage/5.jpg,/workspace/plant-disease/data/cache/plantvillage/5_seg.jpg
6,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::25.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/8e5806cd-b3f0-4737-8be0-9b7726d8b33c___Mary_HL 9165.JPG,/workspace/plant-disease/data/cache/plantvillage/6.jpg,/workspace/plant-disease/data/cache/plantvillage/6_seg.jpg
7,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::25.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/432379a4-dc5d-49fa-9d75-ebe05a1e01eb___Mary_HL 9161.JPG,/workspace/plant-disease/data/cache/plantvillage/7.jpg,/workspace/plant-disease/data/cache/plantvillage/7_seg.jpg
8,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::25.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/599c43e6-e742-4bc6-92a1-a1ebe4fa820a___Mary_HL 9158.JPG,/workspace/plant-disease/data/cache/plantvillage/8.jpg,/workspace/plant-disease/data/cache/plantvillage/8_seg.jpg
9,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::25.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/12a43ab6-1f18-4b10-9fb4-4865b216d28e___Mary_HL 9156.JPG,/workspace/plant-disease/data/cache/plantvillage/9.jpg,/workspace/plant-disease/data/cache/plantvillage/9_seg.jpg
10,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::25.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/fa3964a3-4eb8-49c8-b62c-b57e3d121996___Mary_HL 9162.JPG,/workspace/plant-disease/data/cache/plantvillage/10.jpg,/workspace/plant-disease/data/cache/plantvillage/10_seg.jpg
11,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::25.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/ecd85c83-4675-4657-9c48-ca9ef7bdd1ef___Mary_HL 9157.JPG,/workspace/plant-disease/data/cache/plantvillage/11.jpg,/workspace/plant-disease/data/cache/plantvillage/11_seg.jpg
12,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::21.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/b8a96dea-8442-4855-9fdf-c29c9d4eca5a___Mary_HL 6398.JPG,/workspace/plant-disease/data/cache/plantvillage/12.jpg,/workspace/plant-disease/data/cache/plantvillage/12_seg.jpg
13,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::21.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/42428dcc-fefc-46dd-b209-150fbeaf4862___Mary_HL 6397.JPG,/workspace/plant-disease/data/cache/plantvillage/13.jpg,/workspace/plant-disease/data/cache/plantvillage/13_seg.jpg
14,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::21.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/6d141ce7-7f73-4c5c-9cec-3b4ed52aad00___Mary_HL 6399.JPG,/workspace/plant-disease/data/cache/plantvillage/14.jpg,/workspace/plant-disease/data/cache/plantvillage/14_seg.jpg
15,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::21.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/b446d3f3-e55a-45eb-8e46-d2e3cc7e40b5___Mary_HL 6403.JPG,/workspace/plant-disease/data/cache/plantvillage/15.jpg,/workspace/plant-disease/data/cache/plantvillage/15_seg.jpg
16,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::21.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/75d0565c-0e80-4cac-9f11-dfc537d68677___Mary_HL 6401.JPG,/workspace/plant-disease/data/cache/plantvillage/16.jpg,/workspace/plant-disease/data/cache/plantvillage/16_seg.jpg
17,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::21.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/8eef072d-0f99-4ba4-9003-249f5395d6f5___Mary_HL 6400.JPG,/workspace/plant-disease/data/cache/plantvillage/17.jpg,/workspace/plant-disease/data/cache/plantvillage/17_seg.jpg
18,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::21.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/2e6f50f0-c9ac-4990-bb81-46936cb62a17___Mary_HL 6402.JPG,/workspace/plant-disease/data/cache/plantvillage/18.jpg,/workspace/plant-disease/data/cache/plantvillage/18_seg.jpg
19,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::8.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/076d909d-cfca-47ce-a8d1-479bb77c4bab___Mary_HL 6294.JPG,/workspace/plant-disease/data/cache/plantvillage/19.jpg,/workspace/plant-disease/data/cache/plantvillage/19_seg.jpg
20,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::8.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/9efc34db-3437-4ba6-b989-70febfb37305___Mary_HL 6298.JPG,/workspace/plant-disease/data/cache/plantvillage/20.jpg,/workspace/plant-disease/data/cache/plantvillage/20_seg.jpg
21,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::8.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/e6914eed-6170-4d2f-98d6-390a1c8600f2___Mary_HL 6297.JPG,/workspace/plant-disease/data/cache/plantvillage/21.jpg,/workspace/plant-disease/data/cache/plantvillage/21_seg.jpg
22,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::8.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/4e1efa30-c1ef-4328-91f1-892747a9bcaf___Mary_HL 6295.JPG,/workspace/plant-disease/data/cache/plantvillage/22.jpg,/workspace/plant-disease/data/cache/plantvillage/22_seg.jpg
23,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::8.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/b5695141-b666-419c-aad9-602fa6f47737___Mary_HL 6296.JPG,/workspace/plant-disease/data/cache/plantvillage/23.jpg,/workspace/plant-disease/data/cache/plantvillage/23_seg.jpg
24,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::8.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/1875f778-fa4f-472a-adbc-88dd033011a7___Mary_HL 6292.JPG,/workspace/plant-disease/data/cache/plantvillage/24.jpg,/workspace/plant-disease/data/cache/plantvillage/24_seg.jpg
25,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::8.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/5b9c0974-8b91-4288-bd65-8ccaef4b9530___Mary_HL 6293.JPG,/workspace/plant-disease/data/cache/plantvillage/25.jpg,/workspace/plant-disease/data/cache/plantvillage/25_seg.jpg
26,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::15.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/895d0a2d-5fda-47ca-af52-5cf4f07d610c___Mary_HL 6349.JPG,/workspace/plant-disease/data/cache/plantvillage/26.jpg,/workspace/plant-disease/data/cache/plantvillage/26_seg.jpg
27,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::15.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/9e64e964-c4c6-4cf7-80e4-ef0a4ff7d386___Mary_HL 6350.JPG,/workspace/plant-disease/data/cache/plantvillage/27.jpg,/workspace/plant-disease/data/cache/plantvillage/27_seg.jpg
28,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::15.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/4cc1078f-0752-4e3c-bfa0-ed787c1631a4___Mary_HL 6351.JPG,/workspace/plant-disease/data/cache/plantvillage/28.jpg,/workspace/plant-disease/data/cache/plantvillage/28_seg.jpg
29,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::15.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/3d9757e9-7753-4d8c-8c60-d78f4522b021___Mary_HL 6352.JPG,/workspace/plant-disease/data/cache/plantvillage/29.jpg,/workspace/plant-disease/data/cache/plantvillage/29_seg.jpg
30,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::15.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/a9b01b22-29b0-43de-9e0d-e93698acc780___Mary_HL 6348.JPG,/workspace/plant-disease/data/cache/plantvillage/30.jpg,/workspace/plant-disease/data/cache/plantvillage/30_seg.jpg
31,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::15.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/a8530446-f16a-4c42-abb9-bbe2d83bb94d___Mary_HL 6353.JPG,/workspace/plant-disease/data/cache/plantvillage/31.jpg,/workspace/plant-disease/data/cache/plantvillage/31_seg.jpg
32,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::15.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/3734da4f-b4d3-4457-b73e-1da889ff9ca1___Mary_HL 6347.JPG,/workspace/plant-disease/data/cache/plantvillage/32.jpg,/workspace/plant-disease/data/cache/plantvillage/32_seg.jpg
33,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::9.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/ba2f9f86-c854-42d0-bc56-0992eaa2799a___Mary_HL 6302.JPG,/workspace/plant-disease/data/cache/plantvillage/33.jpg,/workspace/plant-disease/data/cache/plantvillage/33_seg.jpg
34,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::9.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/b3231913-b0e1-4209-8fcb-77d9855eced1___Mary_HL 6306.JPG,/workspace/plant-disease/data/cache/plantvillage/34.jpg,/workspace/plant-disease/data/cache/plantvillage/34_seg.jpg
35,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::9.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/7da82159-e6d3-4166-ab03-f2ef9eeb4d10___Mary_HL 6304.JPG,/workspace/plant-disease/data/cache/plantvillage/35.jpg,/workspace/plant-disease/data/cache/plantvillage/35_seg.jpg
36,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::9.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/9f63daed-c468-4783-94c9-c703187a37ad___Mary_HL 6303.JPG,/workspace/plant-disease/data/cache/plantvillage/36.jpg,/workspace/plant-disease/data/cache/plantvillage/36_seg.jpg
37,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::9.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/f6beccbc-454c-445a-ac92-e294bc712252___Mary_HL 6305.JPG,/workspace/plant-disease/data/cache/plantvillage/37.jpg,/workspace/plant-disease/data/cache/plantvillage/37_seg.jpg
38,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::9.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/0df51eb7-e701-492b-bb9f-994d30ea16c7___Mary_HL 6301.JPG,/workspace/plant-disease/data/cache/plantvillage/38.jpg,/workspace/plant-disease/data/cache/plantvillage/38_seg.jpg
39,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::9.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/20f4809a-295a-4671-ae22-1bf60ec9fc80___Mary_HL 6299.JPG,/workspace/plant-disease/data/cache/plantvillage/39.jpg,/workspace/plant-disease/data/cache/plantvillage/39_seg.jpg
40,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::9.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/27542f80-1341-427b-8376-f34255e93092___Mary_HL 6300.JPG,/workspace/plant-disease/data/cache/plantvillage/40.jpg,/workspace/plant-disease/data/cache/plantvillage/40_seg.jpg
41,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::34.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/1bc672d8-2546-4f01-9482-a97e0d6cc345___Mary_HL 9303.JPG,/workspace/plant-disease/data/cache/plantvillage/41.jpg,/workspace/plant-disease/data/cache/plantvillage/41_seg.jpg
42,plantvillage,train,Raspberry___healthy,23,pv:Raspberry___healthy:::34.0,/workspace/plant-disease/raw/pv/raw/color/Raspberry___healthy/1f7b581b-0d3c-4b15-ba28-caedd1d0895c___Mary_HL 9300.JPG,/workspace/plant-disease/data/cache/plantvillage/42.jpg,/workspace/plant-disease/data/cache/plantvillage/42_seg.jpg
